county,year,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly
Baringo,2024,297890.04,50481.18,139900.17,7610.99,0.0,41.52,36.08,5.44,16.95,2.55
Bomet,2024,411789.83,61392.16,208736.66,9492.66,0.0,33.96,29.41,4.55,14.91,2.31
Bungoma,2024,923758.24,141907.1,442270.67,23359.11,0.0,37.37,32.09,5.28,15.36,2.53
Busia,2024,425971.13,63534.41,208903.41,12678.73,0.0,36.48,30.41,6.07,14.92,2.98
Elgeyo-Marakwet,2024,188614.31,30309.44,92558.81,5203.91,0.0,38.37,32.75,5.62,16.07,2.76
Embu,2024,284652.2,34322.14,170418.23,11985.41,0.0,27.17,20.14,7.03,12.06,4.21
Garissa,2024,435470.07,76913.84,196802.8,4894.49,0.0,41.57,39.08,2.49,17.66,1.12
HomaBay,2024,531194.84,83524.07,255129.19,16706.13,0.0,39.29,32.74,6.55,15.72,3.15
Isiolo,2024,166005.72,30880.34,76245.62,3017.81,0.0,44.46,40.5,3.96,18.6,1.82
Kajiado,2024,665211.27,104675.68,378012.73,8845.12,0.0,30.03,27.69,2.34,15.74,1.33
Kakamega,2024,723794.39,103375.13,356659.33,22841.47,0.0,35.39,28.98,6.4,14.28,3.16
Kericho,2024,414605.44,59748.44,219322.83,9558.31,0.0,31.6,27.24,4.36,14.41,2.31
Kiambu,2024,1326270.87,172697.16,853400.14,27027.9,0.0,23.4,20.24,3.17,13.02,2.04
Kilifi,2024,737241.13,116951.41,374425.38,20033.87,0.0,36.59,31.23,5.35,15.86,2.72
Kirinyaga,2024,395081.18,43676.17,249832.29,17435.95,0.0,24.46,17.48,6.98,11.05,4.41
Kisii,2024,588314.31,76069.63,312099.03,18153.69,0.0,30.19,24.37,5.82,12.93,3.09
Kisumu,2024,571210.41,81392.19,304805.76,16002.88,0.0,31.95,26.7,5.25,14.25,2.8
Kitui,2024,510047.75,67286.27,262358.62,21584.39,0.0,33.87,25.65,8.23,13.19,4.23
Kwale,2024,449319.39,77473.24,217068.03,11960.97,0.0,41.2,35.69,5.51,17.24,2.66
Laikipia,2024,249871.47,37650.74,134584.47,8040.55,0.0,33.95,27.98,5.97,15.07,3.22
Lamu,2024,70598.45,11272.88,36300.38,1923.95,0.0,36.35,31.05,5.3,15.97,2.73
Machakos,2024,714928.08,88313.03,430583.33,24069.45,0.0,26.1,20.51,5.59,12.35,3.37
Makueni,2024,434717.92,51249.58,240081.69,20173.42,0.0,29.75,21.35,8.4,11.79,4.64
Mandera,2024,423938.13,99290.35,151645.88,3180.16,0.0,67.57,65.48,2.1,23.42,0.75
Marsabit,2024,229805.61,42546.24,99287.41,4336.11,0.0,47.22,42.85,4.37,18.51,1.89
Meru,2024,701432.77,91568.45,397380.37,26087.29,0.0,29.61,23.04,6.56,13.05,3.72
Migori,2024,570366.73,95610.35,267097.76,13101.16,0.0,40.7,35.8,4.91,16.76,2.3
Mombasa,2024,621571.01,86285.02,390643.1,8044.64,0.0,24.15,22.09,2.06,13.88,1.29
Murang'a,2024,458439.81,57588.68,263255.88,24557.72,0.0,31.2,21.88,9.33,12.56,5.36
Nairobi,2024,2460199.2,329249.78,1623476.33,20954.65,0.0,21.57,20.28,1.29,13.38,0.85
Nakuru,2024,1092731.9,160952.43,607775.12,23720.73,0.0,30.39,26.48,3.9,14.73,2.17
Nandi,2024,410501.86,58515.49,216204.86,10692.95,0.0,32.01,27.06,4.95,14.25,2.6
Narok,2024,621634.71,116073.0,276773.37,9654.1,0.0,45.43,41.94,3.49,18.67,1.55
Nyamira,2024,268648.59,33097.98,144798.08,8859.36,0.0,28.98,22.86,6.12,12.32,3.3
Nyandarua,2024,274946.07,36037.94,153817.71,9778.97,0.0,29.79,23.43,6.36,13.11,3.56
Nyeri,2024,325152.55,37330.91,199326.7,15876.08,0.0,26.69,18.73,7.96,11.48,4.88
Samburu,2024,159263.58,30749.15,68666.08,3150.33,0.0,49.37,44.78,4.59,19.31,1.98
Siaya,2024,487005.13,69034.75,242827.26,21074.49,0.0,37.11,28.43,8.68,14.18,4.33
TaitaTaveta,2024,157594.07,21857.65,88917.06,6061.49,0.0,31.4,24.58,6.82,13.87,3.85
TanaRiver,2024,296411.89,56436.39,132502.17,5601.75,0.0,46.82,42.59,4.23,19.04,1.89
Tharaka-Nithi,2024,146686.73,18160.86,83255.93,6720.54,0.0,29.89,21.81,8.07,12.38,4.58
TransNzoia,2024,464519.12,71876.38,229315.92,10716.73,0.0,36.02,31.34,4.67,15.47,2.31
Turkana,2024,428973.38,73868.68,199917.41,8346.23,0.0,41.12,36.95,4.17,17.22,1.95
UasinGishu,2024,579019.67,82073.94,327481.33,11032.35,0.0,28.43,25.06,3.37,14.17,1.91
Vihiga,2024,251931.97,33269.12,126373.03,12328.69,0.0,36.08,26.33,9.76,13.21,4.89
Wajir,2024,354287.06,69437.04,147570.13,2753.74,0.0,48.92,47.05,1.87,19.6,0.78
WestPokot,2024,325536.9,67986.37,134938.61,7079.34,0.0,55.63,50.38,5.25,20.88,2.17
Baringo,2025,692565.28,62301.32,404998.97,20573.86,90.68,20.46,15.38,5.08,9.0,2.97
Bomet,2025,953110.62,75536.85,584923.88,26176.62,89.24,17.39,12.91,4.48,7.93,2.75
Bungoma,2025,2107889.08,173590.37,1243146.67,60697.6,84.89,18.85,13.96,4.88,8.24,2.88
Busia,2025,963908.16,77635.19,576546.42,31841.27,82.08,18.99,13.47,5.52,8.05,3.3
Elgeyo-Marakwet,2025,438433.87,37148.7,265158.61,14446.49,90.1,19.46,14.01,5.45,8.47,3.3
Embu,2025,678320.89,42057.17,468474.92,31648.44,93.0,15.73,8.98,6.76,6.2,4.67
Garissa,2025,1054182.82,95970.36,596004.12,15783.99,101.13,18.75,16.1,2.65,9.1,1.5
HomaBay,2025,1169508.87,102407.27,676589.85,39980.39,81.02,21.04,15.14,5.91,8.76,3.42
Isiolo,2025,392485.12,37956.62,229266.56,8827.11,97.75,20.41,16.56,3.85,9.67,2.25
